,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,8244,589,Wed Jun 17 23:00:04 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Wed Jun 17 23:00:04 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Wed Jun 17 23:00:04 2020
3,Andaman and Nicobar Islands,South Andaman,35,0,Wed Jun 17 23:00:04 2020
4,Andaman and Nicobar Islands,Unknown,8,0,Wed Jun 17 23:00:04 2020
5,Andhra Pradesh,Foreign Evacuees,235,0,Wed Jun 17 23:00:04 2020
6,Andhra Pradesh,Anantapur,580,67,Wed Jun 17 23:00:04 2020
7,Andhra Pradesh,Chittoor,388,25,Wed Jun 17 23:00:04 2020
8,Andhra Pradesh,East Godavari,404,5,Wed Jun 17 23:00:04 2020
9,Andhra Pradesh,Guntur,694,23,Wed Jun 17 23:00:04 2020
10,Andhra Pradesh,Krishna,821,30,Wed Jun 17 23:00:04 2020
11,Andhra Pradesh,Kurnool,1151,59,Wed Jun 17 23:00:04 2020
12,Andhra Pradesh,Other State,1253,50,Wed Jun 17 23:00:04 2020
13,Andhra Pradesh,Prakasam,117,14,Wed Jun 17 23:00:04 2020
14,Andhra Pradesh,S.P.S. Nellore,425,2,Wed Jun 17 23:00:04 2020
15,Andhra Pradesh,Srikakulam,55,0,Wed Jun 17 23:00:04 2020
16,Andhra Pradesh,Visakhapatnam,229,6,Wed Jun 17 23:00:04 2020
17,Andhra Pradesh,Vizianagaram,74,0,Wed Jun 17 23:00:04 2020
18,Andhra Pradesh,West Godavari,348,37,Wed Jun 17 23:00:04 2020
19,Andhra Pradesh,Y.S.R. Kadapa,269,7,Wed Jun 17 23:00:04 2020
20,Andhra Pradesh,Unknown,28,0,Wed Jun 17 23:00:04 2020
21,Arunachal Pradesh,Anjaw,0,0,Wed Jun 17 23:00:04 2020
22,Arunachal Pradesh,Changlang,60,0,Wed Jun 17 23:00:04 2020
23,Arunachal Pradesh,East Kameng,0,0,Wed Jun 17 23:00:04 2020
24,Arunachal Pradesh,East Siang,9,0,Wed Jun 17 23:00:04 2020
25,Arunachal Pradesh,Kamle,0,0,Wed Jun 17 23:00:04 2020
26,Arunachal Pradesh,Kra Daadi,0,0,Wed Jun 17 23:00:04 2020
27,Arunachal Pradesh,Kurung Kumey,0,0,Wed Jun 17 23:00:04 2020
28,Arunachal Pradesh,Lepa Rada,0,0,Wed Jun 17 23:00:04 2020
29,Arunachal Pradesh,Lohit,3,0,Wed Jun 17 23:00:04 2020
30,Arunachal Pradesh,Longding,1,0,Wed Jun 17 23:00:04 2020
31,Arunachal Pradesh,Lower Dibang Valley,2,0,Wed Jun 17 23:00:04 2020
32,Arunachal Pradesh,Lower Siang,0,0,Wed Jun 17 23:00:04 2020
33,Arunachal Pradesh,Lower Subansiri,0,0,Wed Jun 17 23:00:04 2020
34,Arunachal Pradesh,Namsai,3,0,Wed Jun 17 23:00:04 2020
35,Arunachal Pradesh,Pakke Kessang,1,0,Wed Jun 17 23:00:04 2020
36,Arunachal Pradesh,Papum Pare,11,0,Wed Jun 17 23:00:04 2020
37,Arunachal Pradesh,Shi Yomi,0,0,Wed Jun 17 23:00:04 2020
38,Arunachal Pradesh,Siang,0,0,Wed Jun 17 23:00:04 2020
39,Arunachal Pradesh,Tawang,1,0,Wed Jun 17 23:00:04 2020
40,Arunachal Pradesh,Tirap,2,0,Wed Jun 17 23:00:04 2020
41,Arunachal Pradesh,Upper Dibang Valley,0,0,Wed Jun 17 23:00:04 2020
42,Arunachal Pradesh,Upper Siang,1,0,Wed Jun 17 23:00:04 2020
43,Arunachal Pradesh,Upper Subansiri,0,0,Wed Jun 17 23:00:04 2020
44,Arunachal Pradesh,West Kameng,4,0,Wed Jun 17 23:00:04 2020
45,Arunachal Pradesh,West Siang,1,0,Wed Jun 17 23:00:04 2020
46,Assam,Airport Quarantine,4,0,Wed Jun 17 23:00:04 2020
47,Assam,Baksa,25,0,Wed Jun 17 23:00:04 2020
48,Assam,Barpeta,125,4,Wed Jun 17 23:00:04 2020
49,Assam,Biswanath,54,0,Wed Jun 17 23:00:04 2020
50,Assam,Bongaigaon,23,3,Wed Jun 17 23:00:04 2020
51,Assam,Cachar,95,4,Wed Jun 17 23:00:04 2020
52,Assam,Charaideo,15,0,Wed Jun 17 23:00:04 2020
53,Assam,Chirang,41,0,Wed Jun 17 23:00:04 2020
54,Assam,Darrang,102,0,Wed Jun 17 23:00:04 2020
55,Assam,Dhemaji,91,4,Wed Jun 17 23:00:04 2020
56,Assam,Dhubri,323,0,Wed Jun 17 23:00:04 2020
57,Assam,Dibrugarh,63,6,Wed Jun 17 23:00:04 2020
58,Assam,Dima Hasao,89,1,Wed Jun 17 23:00:04 2020
59,Assam,Goalpara,57,0,Wed Jun 17 23:00:04 2020
60,Assam,Golaghat,262,20,Wed Jun 17 23:00:04 2020
61,Assam,Hailakandi,64,12,Wed Jun 17 23:00:04 2020
62,Assam,Hojai,267,0,Wed Jun 17 23:00:04 2020
63,Assam,Jorhat,115,21,Wed Jun 17 23:00:04 2020
64,Assam,Kamrup,212,6,Wed Jun 17 23:00:04 2020
65,Assam,Kamrup Metropolitan,564,0,Wed Jun 17 23:00:04 2020
66,Assam,Karbi Anglong,25,7,Wed Jun 17 23:00:04 2020
67,Assam,Karimganj,86,0,Wed Jun 17 23:00:04 2020
68,Assam,Kokrajhar,73,0,Wed Jun 17 23:00:04 2020
69,Assam,Lakhimpur,79,0,Wed Jun 17 23:00:04 2020
70,Assam,Majuli,16,0,Wed Jun 17 23:00:04 2020
71,Assam,Morigaon,49,0,Wed Jun 17 23:00:04 2020
72,Assam,Nagaon,279,2,Wed Jun 17 23:00:04 2020
73,Assam,Nalbari,25,0,Wed Jun 17 23:00:04 2020
