,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,1674,-655,Wed Jul 15 14:00:03 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Wed Jul 15 14:00:03 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Wed Jul 15 14:00:03 2020
3,Andaman and Nicobar Islands,South Andaman,51,0,Wed Jul 15 14:00:03 2020
4,Andaman and Nicobar Islands,Unknown,119,0,Wed Jul 15 14:00:03 2020
5,Andhra Pradesh,Foreign Evacuees,432,0,Wed Jul 15 14:00:03 2020
6,Andhra Pradesh,Anantapur,3651,0,Wed Jul 15 14:00:03 2020
7,Andhra Pradesh,Chittoor,3074,0,Wed Jul 15 14:00:03 2020
8,Andhra Pradesh,East Godavari,3115,0,Wed Jul 15 14:00:03 2020
9,Andhra Pradesh,Guntur,3356,0,Wed Jul 15 14:00:03 2020
10,Andhra Pradesh,Krishna,2744,0,Wed Jul 15 14:00:03 2020
11,Andhra Pradesh,Kurnool,3823,0,Wed Jul 15 14:00:03 2020
12,Andhra Pradesh,Other State,2424,0,Wed Jul 15 14:00:03 2020
13,Andhra Pradesh,Prakasam,1238,0,Wed Jul 15 14:00:03 2020
14,Andhra Pradesh,S.P.S. Nellore,1419,0,Wed Jul 15 14:00:03 2020
15,Andhra Pradesh,Srikakulam,1414,0,Wed Jul 15 14:00:03 2020
16,Andhra Pradesh,Visakhapatnam,1489,0,Wed Jul 15 14:00:03 2020
17,Andhra Pradesh,Vizianagaram,832,0,Wed Jul 15 14:00:03 2020
18,Andhra Pradesh,West Godavari,2026,0,Wed Jul 15 14:00:03 2020
19,Andhra Pradesh,Y.S.R. Kadapa,1982,0,Wed Jul 15 14:00:03 2020
20,Arunachal Pradesh,Anjaw,4,0,Wed Jul 15 14:00:03 2020
21,Arunachal Pradesh,Changlang,113,0,Wed Jul 15 14:00:03 2020
22,Arunachal Pradesh,East Kameng,2,0,Wed Jul 15 14:00:03 2020
23,Arunachal Pradesh,East Siang,15,0,Wed Jul 15 14:00:03 2020
24,Arunachal Pradesh,Kamle,0,0,Wed Jul 15 14:00:03 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Wed Jul 15 14:00:03 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Wed Jul 15 14:00:03 2020
27,Arunachal Pradesh,Lepa Rada,4,0,Wed Jul 15 14:00:03 2020
28,Arunachal Pradesh,Lohit,4,0,Wed Jul 15 14:00:03 2020
29,Arunachal Pradesh,Longding,6,0,Wed Jul 15 14:00:03 2020
30,Arunachal Pradesh,Lower Dibang Valley,4,0,Wed Jul 15 14:00:03 2020
31,Arunachal Pradesh,Lower Siang,3,0,Wed Jul 15 14:00:03 2020
32,Arunachal Pradesh,Lower Subansiri,12,0,Wed Jul 15 14:00:03 2020
33,Arunachal Pradesh,Namsai,33,0,Wed Jul 15 14:00:03 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Wed Jul 15 14:00:03 2020
35,Arunachal Pradesh,Papum Pare,220,0,Wed Jul 15 14:00:03 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Wed Jul 15 14:00:03 2020
37,Arunachal Pradesh,Siang,1,0,Wed Jul 15 14:00:03 2020
38,Arunachal Pradesh,Tawang,1,0,Wed Jul 15 14:00:03 2020
39,Arunachal Pradesh,Tirap,6,0,Wed Jul 15 14:00:03 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Wed Jul 15 14:00:03 2020
41,Arunachal Pradesh,Upper Siang,1,0,Wed Jul 15 14:00:03 2020
42,Arunachal Pradesh,Upper Subansiri,1,0,Wed Jul 15 14:00:03 2020
43,Arunachal Pradesh,West Kameng,29,0,Wed Jul 15 14:00:03 2020
44,Arunachal Pradesh,West Siang,2,0,Wed Jul 15 14:00:03 2020
45,Assam,Airport Quarantine,4,0,Wed Jul 15 14:00:03 2020
46,Assam,Baksa,85,0,Wed Jul 15 14:00:03 2020
47,Assam,Barpeta,467,0,Wed Jul 15 14:00:03 2020
48,Assam,Biswanath,58,0,Wed Jul 15 14:00:03 2020
49,Assam,Bongaigaon,155,0,Wed Jul 15 14:00:03 2020
50,Assam,Cachar,351,0,Wed Jul 15 14:00:03 2020
51,Assam,Charaideo,16,0,Wed Jul 15 14:00:03 2020
52,Assam,Chirang,78,0,Wed Jul 15 14:00:03 2020
53,Assam,Darrang,430,0,Wed Jul 15 14:00:03 2020
54,Assam,Dhemaji,96,0,Wed Jul 15 14:00:03 2020
55,Assam,Dhubri,490,0,Wed Jul 15 14:00:03 2020
56,Assam,Dibrugarh,334,0,Wed Jul 15 14:00:03 2020
57,Assam,Dima Hasao,136,0,Wed Jul 15 14:00:03 2020
58,Assam,Goalpara,57,0,Wed Jul 15 14:00:03 2020
59,Assam,Golaghat,616,0,Wed Jul 15 14:00:03 2020
60,Assam,Hailakandi,540,0,Wed Jul 15 14:00:03 2020
61,Assam,Hojai,267,0,Wed Jul 15 14:00:03 2020
62,Assam,Jorhat,228,0,Wed Jul 15 14:00:03 2020
63,Assam,Kamrup,215,0,Wed Jul 15 14:00:03 2020
64,Assam,Kamrup Metropolitan,8183,0,Wed Jul 15 14:00:03 2020
65,Assam,Karbi Anglong,223,0,Wed Jul 15 14:00:03 2020
66,Assam,Karimganj,211,0,Wed Jul 15 14:00:03 2020
67,Assam,Kokrajhar,86,0,Wed Jul 15 14:00:03 2020
