,state,district,confirmed,delta,date
0,Assam,Other State,1,0,Mon May  4 20:10:17 2020
1,Assam,Bongaigaon,5,0,Mon May  4 20:10:17 2020
2,Assam,Cachar,1,0,Mon May  4 20:10:17 2020
3,Assam,Dhubri,5,0,Mon May  4 20:10:17 2020
4,Assam,Goalpara,5,0,Mon May  4 20:10:17 2020
5,Assam,Golaghat,9,0,Mon May  4 20:10:17 2020
6,Assam,Hailakandi,1,0,Mon May  4 20:10:17 2020
7,Assam,Kamrup,1,0,Mon May  4 20:10:17 2020
8,Assam,Kamrup Metropolitan,1,0,Mon May  4 20:10:17 2020
9,Assam,Karimganj,2,0,Mon May  4 20:10:17 2020
10,Assam,Lakhimpur,1,0,Mon May  4 20:10:17 2020
11,Assam,Morigaon,6,0,Mon May  4 20:10:17 2020
12,Assam,Nalbari,4,0,Mon May  4 20:10:17 2020
13,Assam,South Salmara Mankachar,1,0,Mon May  4 20:10:17 2020
14,Haryana,Italians,14,0,Mon May  4 20:10:17 2020
15,Haryana,Ambala,37,23,Mon May  4 20:10:17 2020
16,Haryana,Bhiwani,3,0,Mon May  4 20:10:17 2020
17,Haryana,Charkhi Dadri,1,0,Mon May  4 20:10:17 2020
18,Haryana,Faridabad,75,2,Mon May  4 20:10:17 2020
19,Haryana,Fatehabad,5,0,Mon May  4 20:10:17 2020
20,Haryana,Gurugram,73,1,Mon May  4 20:10:17 2020
21,Haryana,Hisar,4,0,Mon May  4 20:10:17 2020
22,Haryana,Jhajjar,56,14,Mon May  4 20:10:17 2020
23,Haryana,Jind,10,2,Mon May  4 20:10:17 2020
24,Haryana,Kaithal,2,0,Mon May  4 20:10:17 2020
25,Haryana,Karnal,6,0,Mon May  4 20:10:17 2020
26,Haryana,Kurukshetra,2,0,Mon May  4 20:10:17 2020
27,Haryana,Nuh,59,1,Mon May  4 20:10:17 2020
28,Haryana,Palwal,36,0,Mon May  4 20:10:17 2020
29,Haryana,Panchkula,18,0,Mon May  4 20:10:17 2020
30,Haryana,Panipat,27,3,Mon May  4 20:10:17 2020
31,Haryana,Rohtak,4,0,Mon May  4 20:10:17 2020
32,Haryana,Sirsa,6,0,Mon May  4 20:10:17 2020
33,Haryana,Sonipat,73,29,Mon May  4 20:10:17 2020
34,Haryana,Yamunanagar,6,0,Mon May  4 20:10:17 2020
35,Maharashtra,Other States,28,0,Mon May  4 20:10:17 2020
36,Maharashtra,Ahmednagar,43,0,Mon May  4 20:10:17 2020
37,Maharashtra,Akola,62,0,Mon May  4 20:10:17 2020
38,Maharashtra,Amravati,34,0,Mon May  4 20:10:17 2020
39,Maharashtra,Aurangabad,244,0,Mon May  4 20:10:17 2020
40,Maharashtra,Bhandara,1,0,Mon May  4 20:10:17 2020
41,Maharashtra,Beed,1,0,Mon May  4 20:10:17 2020
42,Maharashtra,Buldhana,21,0,Mon May  4 20:10:17 2020
43,Maharashtra,Chandrapur,4,0,Mon May  4 20:10:17 2020
44,Maharashtra,Dhule,28,0,Mon May  4 20:10:17 2020
45,Maharashtra,Gondia,1,0,Mon May  4 20:10:17 2020
46,Maharashtra,Hingoli,42,0,Mon May  4 20:10:17 2020
