,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,4356,-633,Fri Jul 10 06:00:02 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Fri Jul 10 06:00:02 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Fri Jul 10 06:00:02 2020
3,Andaman and Nicobar Islands,South Andaman,51,0,Fri Jul 10 06:00:02 2020
4,Andaman and Nicobar Islands,Unknown,104,0,Fri Jul 10 06:00:02 2020
5,Andhra Pradesh,Foreign Evacuees,424,2,Fri Jul 10 06:00:02 2020
6,Andhra Pradesh,Anantapur,2659,91,Fri Jul 10 06:00:02 2020
7,Andhra Pradesh,Chittoor,2001,236,Fri Jul 10 06:00:02 2020
8,Andhra Pradesh,East Godavari,2062,47,Fri Jul 10 06:00:02 2020
9,Andhra Pradesh,Guntur,2663,228,Fri Jul 10 06:00:02 2020
10,Andhra Pradesh,Krishna,2095,127,Fri Jul 10 06:00:02 2020
11,Andhra Pradesh,Kurnool,2795,73,Fri Jul 10 06:00:02 2020
12,Andhra Pradesh,Other State,2319,53,Fri Jul 10 06:00:02 2020
13,Andhra Pradesh,Prakasam,865,96,Fri Jul 10 06:00:02 2020
14,Andhra Pradesh,S.P.S. Nellore,904,31,Fri Jul 10 06:00:02 2020
15,Andhra Pradesh,Srikakulam,566,206,Fri Jul 10 06:00:02 2020
16,Andhra Pradesh,Visakhapatnam,1191,208,Fri Jul 10 06:00:02 2020
17,Andhra Pradesh,Vizianagaram,333,26,Fri Jul 10 06:00:02 2020
18,Andhra Pradesh,West Godavari,1383,17,Fri Jul 10 06:00:02 2020
19,Andhra Pradesh,Y.S.R. Kadapa,1554,114,Fri Jul 10 06:00:02 2020
20,Arunachal Pradesh,Anjaw,4,0,Fri Jul 10 06:00:02 2020
21,Arunachal Pradesh,Changlang,99,7,Fri Jul 10 06:00:02 2020
22,Arunachal Pradesh,East Kameng,0,0,Fri Jul 10 06:00:02 2020
23,Arunachal Pradesh,East Siang,10,0,Fri Jul 10 06:00:02 2020
24,Arunachal Pradesh,Kamle,0,0,Fri Jul 10 06:00:02 2020
25,Arunachal Pradesh,Kra Daadi,0,0,Fri Jul 10 06:00:02 2020
26,Arunachal Pradesh,Kurung Kumey,0,0,Fri Jul 10 06:00:02 2020
27,Arunachal Pradesh,Lepa Rada,3,2,Fri Jul 10 06:00:02 2020
28,Arunachal Pradesh,Lohit,4,0,Fri Jul 10 06:00:02 2020
29,Arunachal Pradesh,Longding,4,0,Fri Jul 10 06:00:02 2020
30,Arunachal Pradesh,Lower Dibang Valley,3,0,Fri Jul 10 06:00:02 2020
31,Arunachal Pradesh,Lower Siang,3,0,Fri Jul 10 06:00:02 2020
32,Arunachal Pradesh,Lower Subansiri,12,5,Fri Jul 10 06:00:02 2020
33,Arunachal Pradesh,Namsai,16,0,Fri Jul 10 06:00:02 2020
34,Arunachal Pradesh,Pakke Kessang,1,0,Fri Jul 10 06:00:02 2020
35,Arunachal Pradesh,Papum Pare,105,1,Fri Jul 10 06:00:02 2020
36,Arunachal Pradesh,Shi Yomi,0,0,Fri Jul 10 06:00:02 2020
37,Arunachal Pradesh,Siang,0,0,Fri Jul 10 06:00:02 2020
38,Arunachal Pradesh,Tawang,1,0,Fri Jul 10 06:00:02 2020
39,Arunachal Pradesh,Tirap,5,0,Fri Jul 10 06:00:02 2020
40,Arunachal Pradesh,Upper Dibang Valley,0,0,Fri Jul 10 06:00:02 2020
41,Arunachal Pradesh,Upper Siang,1,0,Fri Jul 10 06:00:02 2020
42,Arunachal Pradesh,Upper Subansiri,1,0,Fri Jul 10 06:00:02 2020
43,Arunachal Pradesh,West Kameng,28,0,Fri Jul 10 06:00:02 2020
44,Arunachal Pradesh,West Siang,2,0,Fri Jul 10 06:00:02 2020
45,Assam,Airport Quarantine,4,0,Fri Jul 10 06:00:02 2020
46,Assam,Baksa,85,0,Fri Jul 10 06:00:02 2020
47,Assam,Barpeta,150,0,Fri Jul 10 06:00:02 2020
48,Assam,Biswanath,58,0,Fri Jul 10 06:00:02 2020
49,Assam,Bongaigaon,24,0,Fri Jul 10 06:00:02 2020
