,state,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Mon May 11 22:16:17 2020
1,Andaman and Nicobar Islands,South Andaman,32,0,Mon May 11 22:16:17 2020
2,Andhra Pradesh,Anantapur,115,8,Mon May 11 22:16:17 2020
3,Andhra Pradesh,Chittoor,121,9,Mon May 11 22:16:17 2020
4,Andhra Pradesh,East Godavari,46,0,Mon May 11 22:16:17 2020
5,Andhra Pradesh,Guntur,387,5,Mon May 11 22:16:17 2020
6,Andhra Pradesh,Krishna,342,3,Mon May 11 22:16:17 2020
7,Andhra Pradesh,Kurnool,575,9,Mon May 11 22:16:17 2020
8,Andhra Pradesh,Other State,27,0,Mon May 11 22:16:17 2020
9,Andhra Pradesh,Prakasam,63,0,Mon May 11 22:16:17 2020
10,Andhra Pradesh,S.P.S. Nellore,102,1,Mon May 11 22:16:17 2020
11,Andhra Pradesh,Srikakulam,5,0,Mon May 11 22:16:17 2020
12,Andhra Pradesh,Visakhapatnam,66,3,Mon May 11 22:16:17 2020
13,Andhra Pradesh,Vizianagaram,4,0,Mon May 11 22:16:17 2020
14,Andhra Pradesh,West Godavari,68,0,Mon May 11 22:16:17 2020
15,Andhra Pradesh,Y.S.R. Kadapa,97,0,Mon May 11 22:16:17 2020
16,Arunachal Pradesh,Lohit,1,0,Mon May 11 22:16:17 2020
17,Assam,Bongaigaon,5,0,Mon May 11 22:16:17 2020
18,Assam,Cachar,11,0,Mon May 11 22:16:17 2020
19,Assam,Dhubri,5,0,Mon May 11 22:16:17 2020
20,Assam,Goalpara,6,0,Mon May 11 22:16:17 2020
21,Assam,Golaghat,9,0,Mon May 11 22:16:17 2020
22,Assam,Hailakandi,1,0,Mon May 11 22:16:17 2020
23,Assam,Jorhat,3,0,Mon May 11 22:16:17 2020
24,Assam,Kamrup,2,0,Mon May 11 22:16:17 2020
25,Assam,Kamrup Metropolitan,6,1,Mon May 11 22:16:17 2020
26,Assam,Karimganj,2,0,Mon May 11 22:16:17 2020
27,Assam,Kokrajhar,1,0,Mon May 11 22:16:17 2020
28,Assam,Lakhimpur,1,0,Mon May 11 22:16:17 2020
29,Assam,Morigaon,7,1,Mon May 11 22:16:17 2020
30,Assam,Nalbari,4,0,Mon May 11 22:16:17 2020
31,Assam,Other State,1,0,Mon May 11 22:16:17 2020
32,Assam,South Salmara Mankachar,1,0,Mon May 11 22:16:17 2020
33,Bihar,Araria,4,0,Mon May 11 22:16:17 2020
34,Bihar,Arwal,11,0,Mon May 11 22:16:17 2020
35,Bihar,Aurangabad,15,0,Mon May 11 22:16:17 2020
36,Bihar,Banka,6,0,Mon May 11 22:16:17 2020
37,Bihar,Begusarai,31,0,Mon May 11 22:16:17 2020
38,Bihar,Bhagalpur,25,2,Mon May 11 22:16:17 2020
39,Bihar,Bhojpur,20,0,Mon May 11 22:16:17 2020
40,Bihar,Buxar,56,0,Mon May 11 22:16:17 2020
41,Bihar,Darbhanga,14,3,Mon May 11 22:16:17 2020
42,Bihar,East Champaran,14,0,Mon May 11 22:16:17 2020
43,Bihar,Gaya,8,0,Mon May 11 22:16:17 2020
44,Bihar,Gopalganj,20,2,Mon May 11 22:16:17 2020
45,Bihar,Jehanabad,5,0,Mon May 11 22:16:17 2020
46,Bihar,Kaimur,32,0,Mon May 11 22:16:17 2020
47,Bihar,Katihar,11,0,Mon May 11 22:16:17 2020
48,Bihar,Khagaria,11,0,Mon May 11 22:16:17 2020
49,Bihar,Kishanganj,9,0,Mon May 11 22:16:17 2020
50,Bihar,Lakhisarai,4,0,Mon May 11 22:16:17 2020
51,Bihar,Madhepura,9,0,Mon May 11 22:16:17 2020
52,Bihar,Madhubani,26,2,Mon May 11 22:16:17 2020
53,Bihar,Munger,115,0,Mon May 11 22:16:17 2020
54,Bihar,Muzaffarpur,9,3,Mon May 11 22:16:17 2020
55,Bihar,Nalanda,50,0,Mon May 11 22:16:17 2020
56,Bihar,Nawada,13,6,Mon May 11 22:16:17 2020
57,Bihar,Patna,72,11,Mon May 11 22:16:17 2020
58,Bihar,Purnia,3,1,Mon May 11 22:16:17 2020
59,Bihar,Rohtas,59,0,Mon May 11 22:16:17 2020
60,Bihar,Saharsa,10,1,Mon May 11 22:16:17 2020
61,Bihar,Samastipur,8,0,Mon May 11 22:16:17 2020
62,Bihar,Saran,8,0,Mon May 11 22:16:17 2020
63,Bihar,Sheikhpura,7,5,Mon May 11 22:16:17 2020
64,Bihar,Sheohar,3,0,Mon May 11 22:16:17 2020
65,Bihar,Sitamarhi,7,1,Mon May 11 22:16:17 2020
66,Bihar,Siwan,33,0,Mon May 11 22:16:17 2020
67,Bihar,Supaul,3,2,Mon May 11 22:16:17 2020
68,Bihar,Vaishali,4,0,Mon May 11 22:16:17 2020
69,Bihar,West Champaran,11,0,Mon May 11 22:16:17 2020
70,Chandigarh,Chandigarh,181,8,Mon May 11 22:16:17 2020
71,Chhattisgarh,Bilaspur,1,0,Mon May 11 22:16:17 2020
72,Chhattisgarh,Durg,10,0,Mon May 11 22:16:17 2020
73,Chhattisgarh,Kabeerdham,6,0,Mon May 11 22:16:17 2020
74,Chhattisgarh,Korba,28,0,Mon May 11 22:16:17 2020
75,Chhattisgarh,Raipur,7,0,Mon May 11 22:16:17 2020
76,Chhattisgarh,Rajnandgaon,1,0,Mon May 11 22:16:17 2020
77,Chhattisgarh,Surajpur,6,0,Mon May 11 22:16:17 2020
78,Delhi,Central Delhi,184,0,Mon May 11 22:16:17 2020
79,Delhi,East Delhi,38,0,Mon May 11 22:16:17 2020
80,Delhi,New Delhi,37,0,Mon May 11 22:16:17 2020
81,Delhi,North Delhi,60,0,Mon May 11 22:16:17 2020
82,Delhi,North East Delhi,25,0,Mon May 11 22:16:17 2020
83,Delhi,North West Delhi,32,0,Mon May 11 22:16:17 2020
84,Delhi,Shahdara,48,0,Mon May 11 22:16:17 2020
85,Delhi,South Delhi,70,0,Mon May 11 22:16:17 2020
86,Delhi,South East Delhi,130,0,Mon May 11 22:16:17 2020
87,Delhi,South West Delhi,42,0,Mon May 11 22:16:17 2020
88,Delhi,West Delhi,122,0,Mon May 11 22:16:17 2020
89,Delhi,Unknown,6445,0,Mon May 11 22:16:17 2020
90,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,1,0,Mon May 11 22:16:17 2020
91,Goa,North Goa,6,0,Mon May 11 22:16:17 2020
92,Goa,South Goa,1,0,Mon May 11 22:16:17 2020
93,Gujarat,Other State,1,0,Mon May 11 22:16:17 2020
94,Gujarat,Ahmedabad,6086,268,Mon May 11 22:16:17 2020
95,Gujarat,Anand,80,2,Mon May 11 22:16:17 2020
96,Gujarat,Aravalli,74,1,Mon May 11 22:16:17 2020
97,Gujarat,Banaskantha,81,0,Mon May 11 22:16:17 2020
98,Gujarat,Bharuch,31,3,Mon May 11 22:16:17 2020
99,Gujarat,Bhavnagar,95,1,Mon May 11 22:16:17 2020
100,Gujarat,Botad,56,0,Mon May 11 22:16:17 2020
101,Gujarat,Chhota Udaipur,14,0,Mon May 11 22:16:17 2020
102,Gujarat,Dahod,20,0,Mon May 11 22:16:17 2020
103,Gujarat,Dang,2,0,Mon May 11 22:16:17 2020
104,Gujarat,Devbhumi Dwarka,4,0,Mon May 11 22:16:17 2020
105,Gujarat,Gandhinagar,139,10,Mon May 11 22:16:17 2020
106,Gujarat,Gir Somnath,12,0,Mon May 11 22:16:17 2020
107,Gujarat,Jamnagar,29,3,Mon May 11 22:16:17 2020
108,Gujarat,Junagadh,3,1,Mon May 11 22:16:17 2020
109,Gujarat,Kheda,29,0,Mon May 11 22:16:17 2020
110,Gujarat,Kutch,8,0,Mon May 11 22:16:17 2020
111,Gujarat,Mahisagar,44,0,Mon May 11 22:16:17 2020
112,Gujarat,Mehsana,52,2,Mon May 11 22:16:17 2020
113,Gujarat,Morbi,2,0,Mon May 11 22:16:17 2020
114,Gujarat,Narmada,13,1,Mon May 11 22:16:17 2020
115,Gujarat,Navsari,8,0,Mon May 11 22:16:17 2020
116,Gujarat,Panchmahal,65,4,Mon May 11 22:16:17 2020
117,Gujarat,Patan,27,0,Mon May 11 22:16:17 2020
118,Gujarat,Porbandar,3,0,Mon May 11 22:16:17 2020
119,Gujarat,Rajkot,66,0,Mon May 11 22:16:17 2020
120,Gujarat,Sabarkantha,26,3,Mon May 11 22:16:17 2020
121,Gujarat,Surat,914,19,Mon May 11 22:16:17 2020
122,Gujarat,Surendranagar,3,0,Mon May 11 22:16:17 2020
123,Gujarat,Tapi,2,0,Mon May 11 22:16:17 2020
124,Gujarat,Vadodara,547,29,Mon May 11 22:16:17 2020
125,Gujarat,Valsad,6,0,Mon May 11 22:16:17 2020
126,Himachal Pradesh,Bilaspur,2,0,Mon May 11 22:16:17 2020
127,Himachal Pradesh,Chamba,12,0,Mon May 11 22:16:17 2020
128,Himachal Pradesh,Hamirpur,4,0,Mon May 11 22:16:17 2020
129,Himachal Pradesh,Kangra,10,1,Mon May 11 22:16:17 2020
130,Himachal Pradesh,Mandi,2,0,Mon May 11 22:16:17 2020
