,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,7955,0,Sun Jun 14 18:00:05 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Sun Jun 14 18:00:05 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Sun Jun 14 18:00:05 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Sun Jun 14 18:00:05 2020
4,Andaman and Nicobar Islands,Unknown,5,0,Sun Jun 14 18:00:05 2020
5,Andhra Pradesh,Foreign Evacuees,202,0,Sun Jun 14 18:00:05 2020
6,Andhra Pradesh,Anantapur,463,45,Sun Jun 14 18:00:05 2020
7,Andhra Pradesh,Chittoor,353,3,Sun Jun 14 18:00:05 2020
8,Andhra Pradesh,East Godavari,352,32,Sun Jun 14 18:00:05 2020
9,Andhra Pradesh,Guntur,623,11,Sun Jun 14 18:00:05 2020
10,Andhra Pradesh,Krishna,701,36,Sun Jun 14 18:00:05 2020
11,Andhra Pradesh,Kurnool,976,51,Sun Jun 14 18:00:05 2020
12,Andhra Pradesh,Other State,1107,39,Sun Jun 14 18:00:05 2020
13,Andhra Pradesh,Prakasam,101,2,Sun Jun 14 18:00:05 2020
14,Andhra Pradesh,S.P.S. Nellore,396,13,Sun Jun 14 18:00:05 2020
15,Andhra Pradesh,Srikakulam,55,16,Sun Jun 14 18:00:05 2020
16,Andhra Pradesh,Visakhapatnam,216,15,Sun Jun 14 18:00:05 2020
17,Andhra Pradesh,Vizianagaram,72,10,Sun Jun 14 18:00:05 2020
18,Andhra Pradesh,West Godavari,286,14,Sun Jun 14 18:00:05 2020
19,Andhra Pradesh,Y.S.R. Kadapa,247,5,Sun Jun 14 18:00:05 2020
20,Andhra Pradesh,Unknown,2,0,Sun Jun 14 18:00:05 2020
21,Arunachal Pradesh,Anjaw,0,0,Sun Jun 14 18:00:05 2020
22,Arunachal Pradesh,Changlang,59,0,Sun Jun 14 18:00:05 2020
23,Arunachal Pradesh,East Kameng,0,0,Sun Jun 14 18:00:05 2020
24,Arunachal Pradesh,East Siang,9,0,Sun Jun 14 18:00:05 2020
25,Arunachal Pradesh,Kamle,0,0,Sun Jun 14 18:00:05 2020
26,Arunachal Pradesh,Kra Daadi,0,0,Sun Jun 14 18:00:05 2020
27,Arunachal Pradesh,Kurung Kumey,0,0,Sun Jun 14 18:00:05 2020
28,Arunachal Pradesh,Lepa Rada,0,0,Sun Jun 14 18:00:05 2020
29,Arunachal Pradesh,Lohit,2,0,Sun Jun 14 18:00:05 2020
30,Arunachal Pradesh,Longding,1,0,Sun Jun 14 18:00:05 2020
31,Arunachal Pradesh,Lower Dibang Valley,2,0,Sun Jun 14 18:00:05 2020
32,Arunachal Pradesh,Lower Siang,0,0,Sun Jun 14 18:00:05 2020
33,Arunachal Pradesh,Lower Subansiri,0,0,Sun Jun 14 18:00:05 2020
34,Arunachal Pradesh,Namsai,3,0,Sun Jun 14 18:00:05 2020
35,Arunachal Pradesh,Pakke Kessang,0,0,Sun Jun 14 18:00:05 2020
36,Arunachal Pradesh,Papum Pare,5,0,Sun Jun 14 18:00:05 2020
37,Arunachal Pradesh,Shi Yomi,0,0,Sun Jun 14 18:00:05 2020
38,Arunachal Pradesh,Siang,0,0,Sun Jun 14 18:00:05 2020
39,Arunachal Pradesh,Tawang,1,0,Sun Jun 14 18:00:05 2020
40,Arunachal Pradesh,Tirap,1,0,Sun Jun 14 18:00:05 2020
41,Arunachal Pradesh,Upper Dibang Valley,0,0,Sun Jun 14 18:00:05 2020
42,Arunachal Pradesh,Upper Siang,1,0,Sun Jun 14 18:00:05 2020
43,Arunachal Pradesh,Upper Subansiri,0,0,Sun Jun 14 18:00:05 2020
44,Arunachal Pradesh,West Kameng,3,0,Sun Jun 14 18:00:05 2020
45,Arunachal Pradesh,West Siang,1,0,Sun Jun 14 18:00:05 2020
46,Assam,Airport Quarantine,4,0,Sun Jun 14 18:00:05 2020
47,Assam,Baksa,25,2,Sun Jun 14 18:00:05 2020
48,Assam,Barpeta,108,0,Sun Jun 14 18:00:05 2020
49,Assam,Biswanath,52,0,Sun Jun 14 18:00:05 2020
50,Assam,Bongaigaon,20,1,Sun Jun 14 18:00:05 2020
51,Assam,Cachar,90,0,Sun Jun 14 18:00:05 2020
52,Assam,Charaideo,15,0,Sun Jun 14 18:00:05 2020
53,Assam,Chirang,41,2,Sun Jun 14 18:00:05 2020
54,Assam,Darrang,89,0,Sun Jun 14 18:00:05 2020
55,Assam,Dhemaji,74,1,Sun Jun 14 18:00:05 2020
56,Assam,Dhubri,306,0,Sun Jun 14 18:00:05 2020
57,Assam,Dibrugarh,56,0,Sun Jun 14 18:00:05 2020
58,Assam,Dima Hasao,88,0,Sun Jun 14 18:00:05 2020
59,Assam,Goalpara,57,0,Sun Jun 14 18:00:05 2020
60,Assam,Golaghat,242,10,Sun Jun 14 18:00:05 2020
61,Assam,Hailakandi,52,0,Sun Jun 14 18:00:05 2020
62,Assam,Hojai,266,0,Sun Jun 14 18:00:05 2020
63,Assam,Jorhat,53,2,Sun Jun 14 18:00:05 2020
64,Assam,Kamrup,159,10,Sun Jun 14 18:00:05 2020
65,Assam,Kamrup Metropolitan,552,7,Sun Jun 14 18:00:05 2020
66,Assam,Karbi Anglong,18,1,Sun Jun 14 18:00:05 2020
67,Assam,Karimganj,83,0,Sun Jun 14 18:00:05 2020
68,Assam,Kokrajhar,73,0,Sun Jun 14 18:00:05 2020
69,Assam,Lakhimpur,76,0,Sun Jun 14 18:00:05 2020
70,Assam,Majuli,16,9,Sun Jun 14 18:00:05 2020
71,Assam,Morigaon,49,0,Sun Jun 14 18:00:05 2020
72,Assam,Nagaon,228,14,Sun Jun 14 18:00:05 2020
73,Assam,Nalbari,25,0,Sun Jun 14 18:00:05 2020
74,Assam,Other State,1,0,Sun Jun 14 18:00:05 2020
75,Assam,Sivasagar,27,0,Sun Jun 14 18:00:05 2020
76,Assam,Sonitpur,44,0,Sun Jun 14 18:00:05 2020
77,Assam,South Salmara Mankachar,7,0,Sun Jun 14 18:00:05 2020
78,Assam,Tinsukia,102,0,Sun Jun 14 18:00:05 2020
79,Assam,Udalguri,85,0,Sun Jun 14 18:00:05 2020
80,Assam,West Karbi Anglong,28,0,Sun Jun 14 18:00:05 2020
81,Assam,Unknown,733,0,Sun Jun 14 18:00:05 2020
82,Bihar,Araria,88,0,Sun Jun 14 18:00:05 2020
83,Bihar,Arwal,70,0,Sun Jun 14 18:00:05 2020
84,Bihar,Aurangabad,122,-1,Sun Jun 14 18:00:05 2020
85,Bihar,Banka,172,4,Sun Jun 14 18:00:05 2020
86,Bihar,Begusarai,299,0,Sun Jun 14 18:00:05 2020
87,Bihar,Bhagalpur,324,2,Sun Jun 14 18:00:05 2020
88,Bihar,Bhojpur,145,-1,Sun Jun 14 18:00:05 2020
89,Bihar,Buxar,158,4,Sun Jun 14 18:00:05 2020
90,Bihar,Darbhanga,149,1,Sun Jun 14 18:00:05 2020
91,Bihar,East Champaran,143,3,Sun Jun 14 18:00:05 2020
92,Bihar,Gaya,134,0,Sun Jun 14 18:00:05 2020
93,Bihar,Gopalganj,155,0,Sun Jun 14 18:00:05 2020
94,Bihar,Jamui,51,0,Sun Jun 14 18:00:05 2020
95,Bihar,Jehanabad,187,-1,Sun Jun 14 18:00:05 2020
96,Bihar,Kaimur,138,0,Sun Jun 14 18:00:05 2020
97,Bihar,Katihar,209,0,Sun Jun 14 18:00:05 2020
98,Bihar,Khagaria,291,0,Sun Jun 14 18:00:05 2020
99,Bihar,Kishanganj,122,0,Sun Jun 14 18:00:05 2020
100,Bihar,Lakhisarai,71,0,Sun Jun 14 18:00:05 2020
101,Bihar,Madhepura,141,0,Sun Jun 14 18:00:05 2020
102,Bihar,Madhubani,292,1,Sun Jun 14 18:00:05 2020
103,Bihar,Munger,270,2,Sun Jun 14 18:00:05 2020
104,Bihar,Muzaffarpur,153,2,Sun Jun 14 18:00:05 2020
105,Bihar,Nalanda,144,0,Sun Jun 14 18:00:05 2020
106,Bihar,Nawada,176,-4,Sun Jun 14 18:00:05 2020
107,Bihar,Patna,324,7,Sun Jun 14 18:00:05 2020
108,Bihar,Purnia,220,0,Sun Jun 14 18:00:05 2020
109,Bihar,Rohtas,282,0,Sun Jun 14 18:00:05 2020
110,Bihar,Saharsa,107,0,Sun Jun 14 18:00:05 2020
111,Bihar,Samastipur,149,0,Sun Jun 14 18:00:05 2020
112,Bihar,Saran,158,11,Sun Jun 14 18:00:05 2020
113,Bihar,Sheikhpura,120,0,Sun Jun 14 18:00:05 2020
114,Bihar,Sheohar,67,14,Sun Jun 14 18:00:05 2020
115,Bihar,Sitamarhi,107,12,Sun Jun 14 18:00:05 2020
116,Bihar,Siwan,233,3,Sun Jun 14 18:00:05 2020
117,Bihar,Supaul,172,0,Sun Jun 14 18:00:05 2020
118,Bihar,Vaishali,108,4,Sun Jun 14 18:00:05 2020
119,Bihar,West Champaran,104,3,Sun Jun 14 18:00:05 2020
120,Chandigarh,Chandigarh,350,0,Sun Jun 14 18:00:05 2020
121,Chhattisgarh,Other State,1,0,Sun Jun 14 18:00:05 2020
122,Chhattisgarh,Balod,41,0,Sun Jun 14 18:00:05 2020
123,Chhattisgarh,Baloda Bazar,135,0,Sun Jun 14 18:00:05 2020
124,Chhattisgarh,Balrampur,37,0,Sun Jun 14 18:00:05 2020
125,Chhattisgarh,Bametara,38,0,Sun Jun 14 18:00:05 2020
126,Chhattisgarh,Bastar,5,0,Sun Jun 14 18:00:05 2020
127,Chhattisgarh,Bijapur,0,0,Sun Jun 14 18:00:05 2020
128,Chhattisgarh,Bilaspur,158,0,Sun Jun 14 18:00:05 2020
129,Chhattisgarh,Dakshin Bastar Dantewada,2,0,Sun Jun 14 18:00:05 2020
130,Chhattisgarh,Dhamtari,8,0,Sun Jun 14 18:00:05 2020
131,Chhattisgarh,Durg,58,0,Sun Jun 14 18:00:05 2020
