,state,district,confirmed,delta,date
0,State Unassigned,Unassigned,6943,-464,Mon Jun 15 17:00:03 2020
1,Andaman and Nicobar Islands,Nicobars,0,0,Mon Jun 15 17:00:03 2020
2,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Mon Jun 15 17:00:03 2020
3,Andaman and Nicobar Islands,South Andaman,32,0,Mon Jun 15 17:00:03 2020
4,Andaman and Nicobar Islands,Unknown,8,0,Mon Jun 15 17:00:03 2020
5,Andhra Pradesh,Foreign Evacuees,208,6,Mon Jun 15 17:00:03 2020
6,Andhra Pradesh,Anantapur,485,22,Mon Jun 15 17:00:03 2020
7,Andhra Pradesh,Chittoor,359,6,Mon Jun 15 17:00:03 2020
8,Andhra Pradesh,East Godavari,387,35,Mon Jun 15 17:00:03 2020
9,Andhra Pradesh,Guntur,642,19,Mon Jun 15 17:00:03 2020
10,Andhra Pradesh,Krishna,757,56,Mon Jun 15 17:00:03 2020
11,Andhra Pradesh,Kurnool,1036,60,Mon Jun 15 17:00:03 2020
12,Andhra Pradesh,Other State,1159,52,Mon Jun 15 17:00:03 2020
13,Andhra Pradesh,Prakasam,103,2,Mon Jun 15 17:00:03 2020
14,Andhra Pradesh,S.P.S. Nellore,412,16,Mon Jun 15 17:00:03 2020
15,Andhra Pradesh,Srikakulam,55,0,Mon Jun 15 17:00:03 2020
16,Andhra Pradesh,Visakhapatnam,220,4,Mon Jun 15 17:00:03 2020
17,Andhra Pradesh,Vizianagaram,73,1,Mon Jun 15 17:00:03 2020
18,Andhra Pradesh,West Godavari,301,15,Mon Jun 15 17:00:03 2020
19,Andhra Pradesh,Y.S.R. Kadapa,257,10,Mon Jun 15 17:00:03 2020
20,Andhra Pradesh,Unknown,2,0,Mon Jun 15 17:00:03 2020
21,Arunachal Pradesh,Anjaw,0,0,Mon Jun 15 17:00:03 2020
22,Arunachal Pradesh,Changlang,59,0,Mon Jun 15 17:00:03 2020
23,Arunachal Pradesh,East Kameng,0,0,Mon Jun 15 17:00:03 2020
24,Arunachal Pradesh,East Siang,9,0,Mon Jun 15 17:00:03 2020
25,Arunachal Pradesh,Kamle,0,0,Mon Jun 15 17:00:03 2020
26,Arunachal Pradesh,Kra Daadi,0,0,Mon Jun 15 17:00:03 2020
27,Arunachal Pradesh,Kurung Kumey,0,0,Mon Jun 15 17:00:03 2020
28,Arunachal Pradesh,Lepa Rada,0,0,Mon Jun 15 17:00:03 2020
29,Arunachal Pradesh,Lohit,2,0,Mon Jun 15 17:00:03 2020
30,Arunachal Pradesh,Longding,1,0,Mon Jun 15 17:00:03 2020
31,Arunachal Pradesh,Lower Dibang Valley,2,0,Mon Jun 15 17:00:03 2020
32,Arunachal Pradesh,Lower Siang,0,0,Mon Jun 15 17:00:03 2020
33,Arunachal Pradesh,Lower Subansiri,0,0,Mon Jun 15 17:00:03 2020
34,Arunachal Pradesh,Namsai,3,0,Mon Jun 15 17:00:03 2020
35,Arunachal Pradesh,Pakke Kessang,0,0,Mon Jun 15 17:00:03 2020
36,Arunachal Pradesh,Papum Pare,8,0,Mon Jun 15 17:00:03 2020
37,Arunachal Pradesh,Shi Yomi,0,0,Mon Jun 15 17:00:03 2020
38,Arunachal Pradesh,Siang,0,0,Mon Jun 15 17:00:03 2020
39,Arunachal Pradesh,Tawang,1,0,Mon Jun 15 17:00:03 2020
40,Arunachal Pradesh,Tirap,1,0,Mon Jun 15 17:00:03 2020
41,Arunachal Pradesh,Upper Dibang Valley,0,0,Mon Jun 15 17:00:03 2020
42,Arunachal Pradesh,Upper Siang,1,0,Mon Jun 15 17:00:03 2020
43,Arunachal Pradesh,Upper Subansiri,0,0,Mon Jun 15 17:00:03 2020
44,Arunachal Pradesh,West Kameng,3,0,Mon Jun 15 17:00:03 2020
45,Arunachal Pradesh,West Siang,1,0,Mon Jun 15 17:00:03 2020
46,Assam,Airport Quarantine,4,0,Mon Jun 15 17:00:03 2020
47,Assam,Baksa,25,0,Mon Jun 15 17:00:03 2020
48,Assam,Barpeta,121,0,Mon Jun 15 17:00:03 2020
49,Assam,Biswanath,54,2,Mon Jun 15 17:00:03 2020
50,Assam,Bongaigaon,20,0,Mon Jun 15 17:00:03 2020
51,Assam,Cachar,91,0,Mon Jun 15 17:00:03 2020
52,Assam,Charaideo,15,0,Mon Jun 15 17:00:03 2020
53,Assam,Chirang,41,0,Mon Jun 15 17:00:03 2020
54,Assam,Darrang,102,0,Mon Jun 15 17:00:03 2020
55,Assam,Dhemaji,84,3,Mon Jun 15 17:00:03 2020
56,Assam,Dhubri,323,2,Mon Jun 15 17:00:03 2020
57,Assam,Dibrugarh,57,1,Mon Jun 15 17:00:03 2020
58,Assam,Dima Hasao,88,0,Mon Jun 15 17:00:03 2020
59,Assam,Goalpara,57,0,Mon Jun 15 17:00:03 2020
60,Assam,Golaghat,242,0,Mon Jun 15 17:00:03 2020
61,Assam,Hailakandi,52,0,Mon Jun 15 17:00:03 2020
62,Assam,Hojai,266,0,Mon Jun 15 17:00:03 2020
63,Assam,Jorhat,94,31,Mon Jun 15 17:00:03 2020
64,Assam,Kamrup,206,0,Mon Jun 15 17:00:03 2020
65,Assam,Kamrup Metropolitan,564,0,Mon Jun 15 17:00:03 2020
66,Assam,Karbi Anglong,18,0,Mon Jun 15 17:00:03 2020
67,Assam,Karimganj,86,0,Mon Jun 15 17:00:03 2020
68,Assam,Kokrajhar,73,0,Mon Jun 15 17:00:03 2020
69,Assam,Lakhimpur,79,1,Mon Jun 15 17:00:03 2020
70,Assam,Majuli,16,0,Mon Jun 15 17:00:03 2020
71,Assam,Morigaon,49,0,Mon Jun 15 17:00:03 2020
72,Assam,Nagaon,276,0,Mon Jun 15 17:00:03 2020
73,Assam,Nalbari,25,0,Mon Jun 15 17:00:03 2020
74,Assam,Other State,1,0,Mon Jun 15 17:00:03 2020
75,Assam,Sivasagar,27,0,Mon Jun 15 17:00:03 2020
76,Assam,Sonitpur,44,0,Mon Jun 15 17:00:03 2020
77,Assam,South Salmara Mankachar,7,0,Mon Jun 15 17:00:03 2020
78,Assam,Tinsukia,102,0,Mon Jun 15 17:00:03 2020
79,Assam,Udalguri,89,0,Mon Jun 15 17:00:03 2020
80,Assam,West Karbi Anglong,28,0,Mon Jun 15 17:00:03 2020
81,Assam,Unknown,733,0,Mon Jun 15 17:00:03 2020
82,Bihar,Araria,89,1,Mon Jun 15 17:00:03 2020
83,Bihar,Arwal,73,3,Mon Jun 15 17:00:03 2020
84,Bihar,Aurangabad,134,5,Mon Jun 15 17:00:03 2020
85,Bihar,Banka,173,1,Mon Jun 15 17:00:03 2020
86,Bihar,Begusarai,301,2,Mon Jun 15 17:00:03 2020
87,Bihar,Bhagalpur,327,1,Mon Jun 15 17:00:03 2020
88,Bihar,Bhojpur,145,0,Mon Jun 15 17:00:03 2020
89,Bihar,Buxar,158,0,Mon Jun 15 17:00:03 2020
90,Bihar,Darbhanga,156,7,Mon Jun 15 17:00:03 2020
91,Bihar,East Champaran,153,10,Mon Jun 15 17:00:03 2020
92,Bihar,Gaya,140,5,Mon Jun 15 17:00:03 2020
93,Bihar,Gopalganj,167,0,Mon Jun 15 17:00:03 2020
94,Bihar,Jamui,51,0,Mon Jun 15 17:00:03 2020
95,Bihar,Jehanabad,190,3,Mon Jun 15 17:00:03 2020
96,Bihar,Kaimur,139,1,Mon Jun 15 17:00:03 2020
97,Bihar,Katihar,223,0,Mon Jun 15 17:00:03 2020
98,Bihar,Khagaria,293,2,Mon Jun 15 17:00:03 2020
99,Bihar,Kishanganj,125,3,Mon Jun 15 17:00:03 2020
100,Bihar,Lakhisarai,72,0,Mon Jun 15 17:00:03 2020
101,Bihar,Madhepura,145,3,Mon Jun 15 17:00:03 2020
102,Bihar,Madhubani,303,11,Mon Jun 15 17:00:03 2020
103,Bihar,Munger,270,0,Mon Jun 15 17:00:03 2020
