,state,district,confirmed,delta,date
0,Andaman and Nicobar Islands,North and Middle Andaman,1,0,Mon Apr 27 17:12:07 2020
1,Andaman and Nicobar Islands,South Andaman,32,0,Mon Apr 27 17:12:07 2020
2,Andhra Pradesh,Anantapur,53,0,Mon Apr 27 17:12:07 2020
3,Andhra Pradesh,Chittoor,73,0,Mon Apr 27 17:12:07 2020
4,Andhra Pradesh,East Godavari,39,0,Mon Apr 27 17:12:07 2020
5,Andhra Pradesh,Guntur,237,23,Mon Apr 27 17:12:07 2020
6,Andhra Pradesh,Krishna,210,33,Mon Apr 27 17:12:07 2020
7,Andhra Pradesh,Kurnool,292,13,Mon Apr 27 17:12:07 2020
8,Andhra Pradesh,Prakasam,56,0,Mon Apr 27 17:12:07 2020
9,Andhra Pradesh,S.P.S. Nellore,79,7,Mon Apr 27 17:12:07 2020
10,Andhra Pradesh,Srikakulam,4,1,Mon Apr 27 17:12:07 2020
11,Andhra Pradesh,Visakhapatnam,22,0,Mon Apr 27 17:12:07 2020
12,Andhra Pradesh,West Godavari,54,3,Mon Apr 27 17:12:07 2020
13,Andhra Pradesh,Y.S.R.,58,0,Mon Apr 27 17:12:07 2020
14,Arunachal Pradesh,Lohit,1,0,Mon Apr 27 17:12:07 2020
15,Assam,Cachar,2,0,Mon Apr 27 17:12:07 2020
16,Assam,Dhubri,4,0,Mon Apr 27 17:12:07 2020
17,Assam,Goalpara,4,0,Mon Apr 27 17:12:07 2020
18,Assam,Golaghat,1,0,Mon Apr 27 17:12:07 2020
19,Assam,Hailakandi,1,0,Mon Apr 27 17:12:07 2020
20,Assam,Jorhat,8,0,Mon Apr 27 17:12:07 2020
21,Assam,Kamrup,1,0,Mon Apr 27 17:12:07 2020
22,Assam,Kamrup Metropolitan,6,0,Mon Apr 27 17:12:07 2020
23,Assam,Lakhimpur,1,0,Mon Apr 27 17:12:07 2020
24,Assam,Morigaon,3,0,Mon Apr 27 17:12:07 2020
25,Assam,Nalbari,3,0,Mon Apr 27 17:12:07 2020
26,Assam,South Salmara Mancachar,1,0,Mon Apr 27 17:12:07 2020
27,Assam,Unknown,1,0,Mon Apr 27 17:12:07 2020
28,Bihar,Arwal,4,0,Mon Apr 27 17:12:07 2020
29,Bihar,Aurangabad,7,5,Mon Apr 27 17:12:07 2020
30,Bihar,Banka,2,0,Mon Apr 27 17:12:07 2020
31,Bihar,Begusarai,9,0,Mon Apr 27 17:12:07 2020
32,Bihar,Bhagalpur,5,0,Mon Apr 27 17:12:07 2020
33,Bihar,Bhojpur,9,7,Mon Apr 27 17:12:07 2020
34,Bihar,Buxar,25,0,Mon Apr 27 17:12:07 2020
35,Bihar,East Champaran,5,0,Mon Apr 27 17:12:07 2020
36,Bihar,Gaya,6,0,Mon Apr 27 17:12:07 2020
37,Bihar,Gopalganj,12,0,Mon Apr 27 17:12:07 2020
38,Bihar,Jehanabad,1,0,Mon Apr 27 17:12:07 2020
39,Bihar,Kaimur Bhabua,14,0,Mon Apr 27 17:12:07 2020
40,Bihar,Lakhisarai,4,3,Mon Apr 27 17:12:07 2020
41,Bihar,Madhepura,1,0,Mon Apr 27 17:12:07 2020
42,Bihar,Madhubani,5,5,Mon Apr 27 17:12:07 2020
43,Bihar,Munger,90,22,Mon Apr 27 17:12:07 2020
44,Bihar,Nalanda,34,0,Mon Apr 27 17:12:07 2020
45,Bihar,Nawada,3,0,Mon Apr 27 17:12:07 2020
46,Bihar,Patna,39,6,Mon Apr 27 17:12:07 2020
47,Bihar,Rohtas,15,0,Mon Apr 27 17:12:07 2020
48,Bihar,Saran,4,1,Mon Apr 27 17:12:07 2020
49,Bihar,Siwan,30,0,Mon Apr 27 17:12:07 2020
50,Bihar,Vaishali,2,0,Mon Apr 27 17:12:07 2020
51,Chandigarh,Chandigarh,36,0,Mon Apr 27 17:12:07 2020
52,Chhattisgarh,Bilaspur,1,0,Mon Apr 27 17:12:07 2020
53,Chhattisgarh,Durg,1,0,Mon Apr 27 17:12:07 2020
54,Chhattisgarh,Korba,28,0,Mon Apr 27 17:12:07 2020
55,Chhattisgarh,Raipur,6,0,Mon Apr 27 17:12:07 2020
56,Chhattisgarh,Rajnandgaon,1,0,Mon Apr 27 17:12:07 2020
57,Delhi,Central Delhi,184,0,Mon Apr 27 17:12:07 2020
58,Delhi,East Delhi,38,0,Mon Apr 27 17:12:07 2020
59,Delhi,New Delhi,37,0,Mon Apr 27 17:12:07 2020
60,Delhi,North Delhi,60,0,Mon Apr 27 17:12:07 2020
61,Delhi,North East Delhi,25,0,Mon Apr 27 17:12:07 2020
62,Delhi,North West Delhi,32,0,Mon Apr 27 17:12:07 2020
63,Delhi,Shahdara,48,0,Mon Apr 27 17:12:07 2020
64,Delhi,South Delhi,70,0,Mon Apr 27 17:12:07 2020
